Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
65	-70418.88	66087.39	18913.107	-201854.64	800.0	-612.5595	9.630218e-05	-612.55865	-612.5596	528000	-3.9085744e-08	215930910.0	-0.0427651	-171536.0	2.5750844	0.010452618	0.242875	79.0	659.817859172821
66	-83883.45	57694.95	10519.727	-167053.89	800.0	-623.5184	0.00011926283	-623.5175	-623.5184	536000	1.79708e-08	255531200.0	-0.04604346	-245216.0	2.5580466	0.010679874	0.25475	79.0	670.3116188049316
67	-46346.59	56992.707	8871.812	-142586.94	800.0	-636.44336	9.861239e-05	-636.44244	-636.4435	544000	2.1621585e-08	146485310.0	-0.04666865	-71040.0	2.5133734	0.014276526	0.266375	79.0	680.7051186561584
68	-31384.059	36360.402	37908.555	-74403.67	800.0	-643.8405	7.588391e-05	-643.83984	-643.84064	552000	1.37537715e-08	69582760.0	-0.024504278	-30056.0	2.4653883	0.014979759	0.1745	15.0	688.7948319911957
69	-34783.492	39030.855	14953.72	-121927.55	800.0	-648.6084	8.452047e-05	-648.60767	-648.60846	560000	-3.412366e-09	95930456.0	-0.04751037	-37480.0	2.4448805	0.013403602	0.25725	79.0	699.0927369594574
70	-52749.664	52125.344	28957.123	-141950.19	800.0	-653.82635	0.00016676397	-653.825	-653.82654	568000	9.611249e-09	131502150.0	-0.044495076	-93568.0	2.4512687	0.014837333	0.221375	51.0	708.7819395065308
71	-65958.15	39008.234	-2293.3774	-132137.6	800.0	-662.043	0.000113792106	-662.0422	-662.0431	576000	-4.723668e-09	123991160.0	-0.05006939	-138672.0	2.4099596	0.012684275	0.264125	79.0	718.9944694042206
72	-53584.875	47811.855	33969.438	-114709.24	800.0	-672.19336	0.00011840859	-672.19293	-672.19354	584000	-1.0326505e-08	146003070.0	-0.04157159	-108352.0	2.4127078	0.014808211	0.230875	50.0	728.3130922317505
73	-50615.57	51646.76	23482.434	-159636.84	800.0	-681.35187	0.00011368771	-681.35114	-681.35205	592000	1.9475818e-08	140211150.0	-0.048849978	-92432.0	2.3846037	0.014682862	0.27525	71.0	738.8086013793945
74	-51931.832	49304.383	28793.465	-144698.02	800.0	-689.8267	7.189465e-05	-689.82574	-689.8268	600000	1.618266e-08	144838130.0	-0.041334458	-98272.0	2.3489833	0.015008265	0.234375	47.0	750.8474729061127
75	-42974.32	24682.035	2131.238	-82280.79	800.0	-698.56415	0.000150032	-698.56354	-698.5641	608000	-5.313754e-08	92857180.0	-0.040713724	-66808.0	2.3388526	0.0145190265	0.230125	40.0	759.6603779792786
76	-34501.727	33186.582	23075.879	-99221.13	800.0	-705.93536	0.00010333254	-705.9342	-705.9354	616000	9.246171e-09	94478060.0	-0.04552976	-39656.0	2.3024256	0.0143905375	0.257875	59.0	769.413411617279
77	-67020.59	40331.9	-15723.542	-135695.05	800.0	-711.709	0.000115892486	-711.7085	-711.709	624000	1.8149615e-08	156137090.0	-0.044453997	-156304.0	2.2741015	0.010972465	0.244375	79.0	779.3311026096344
78	-27705.178	37607.266	34988.617	-89727.84	800.0	-722.68286	0.00010252498	-722.68225	-722.683	632000	-2.4959444e-08	93437300.0	-0.025405794	-26920.0	2.2167268	0.016601996	0.171375	17.0	787.6745054721832
79	-40803.793	44849.93	35786.805	-134846.22	800.0	-727.83563	0.00011442464	-727.8347	-727.83563	640000	3.6507846e-09	140127790.0	-0.020334335	-57344.0	2.2529795	0.014352012	0.172375	11.0	795.7757093906403
80	-41022.18	38727.902	12586.882	-101197.24	800.0	-734.66815	8.356747e-05	-734.66754	-734.6683	648000	-3.1754375e-08	115591760.0	-0.042613875	-67352.0	2.2298486	0.0147014	0.2195	54.0	805.5155458450317
81	-40878.97	35629.113	12037.876	-114524.32	800.0	-742.28625	0.00011744114	-742.2859	-742.28644	656000	2.3663045e-08	98964230.0	-0.023395453	-67472.0	2.2499967	0.015705451	0.182375	14.0	813.4696969985962
82	-39462.17	66943.92	63392.184	-181546.44	800.0	-750.00836	0.00010694659	-750.00726	-750.0084	664000	1.3500452e-08	132440136.0	-0.050516833	-58664.0	2.246395	0.014070318	0.26825	73.0	823.5286731719971
83	-25874.945	34085.016	35041.355	-103428.555	800.0	-757.3085	5.759258e-05	-757.308	-757.30853	672000	-2.656877e-08	73169440.0	-0.044725016	-24368.0	2.1993365	0.014480895	0.229375	46.0	832.7660202980042
84	-42278.1	50114.316	31037.695	-149591.08	800.0	-762.2059	0.00010810505	-762.2051	-762.2058	680000	-1.7762185e-08	99143770.0	-0.049167972	-66968.0	2.1961977	0.013490119	0.256875	79.0	843.0089633464813
85	-19567.207	40349.258	12961.319	-128372.266	800.0	-769.973	6.1958955e-05	-769.9725	-769.9731	688000	1.4744699e-08	90807016.0	-0.027529381	-11264.0	2.1915343	0.016048938	0.202625	19.0	851.4474453926086
