Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
51	-103425.33	57188.164	-36744.734	-188903.0	800.0	-494.8413	0.00021968073	-494.83725	-494.84155	416000	3.7878753e-08	314849820.0	-0.044964418	-181792.0	3.4796169	0.013345752	0.231625	79.0	446.0159492492676
52	-91149.234	60914.414	-30586.004	-234654.36	800.0	-502.412	0.00018143369	-502.40796	-502.41226	424000	5.7816507e-09	209591000.0	-0.027480543	-126240.0	3.4914029	0.015164865	0.17	22.0	453.45927238464355
53	-112884.234	90437.625	-9598.89	-271526.56	800.0	-508.86014	0.00058913196	-508.84225	-508.86047	432000	3.7066638e-08	478394050.0	-0.045315746	-202976.0	3.474907	0.014060426	0.22925	72.0	461.92315316200256
54	-144268.45	73601.305	-42285.605	-293294.8	800.0	-516.9148	0.00016069903	-516.9134	-516.915	440000	6.8321824e-09	562563000.0	-0.043549493	-350400.0	3.4827936	0.0122538945	0.236625	79.0	471.02010798454285
55	-169002.45	83385.3	-60395.59	-341606.84	800.0	-527.5148	0.0001789824	-527.512	-527.51495	448000	1.8820167e-08	669469800.0	-0.047399007	-484736.0	3.5177758	0.011716167	0.249625	79.0	480.14607858657837
56	-100219.625	90593.98	3822.239	-330713.75	800.0	-539.96326	0.00024421595	-539.95905	-539.96344	456000	-3.4213066e-08	428516030.0	-0.043287784	-169824.0	3.4509048	0.013463317	0.247875	79.0	489.01216316223145
57	-103904.85	61931.195	-1038.4646	-195799.44	800.0	-547.71094	0.0003384116	-547.70355	-547.71124	464000	2.9742719e-08	333633700.0	-0.046617277	-183648.0	3.4655788	0.012022811	0.2415	79.0	497.84141516685486
58	-82134.45	35283.59	-14802.825	-135354.83	800.0	-555.48486	0.0002662062	-555.4809	-555.48505	472000	8.434057e-09	171049420.0	-0.04509203	-115616.0	3.4774337	0.013250118	0.239625	79.0	506.9343059062958
59	-86896.22	67682.81	-7527.506	-256186.58	800.0	-561.85	0.00016331467	-561.8485	-561.8502	480000	-3.799796e-09	284260300.0	-0.04477701	-134080.0	3.4927075	0.006855113	0.249375	79.0	515.8348503112793
60	-84011.26	89528.02	37576.27	-252218.44	800.0	-568.6435	0.00025585855	-568.6387	-568.64374	488000	-5.2005054e-09	409558240.0	-0.039654773	-133088.0	3.4694908	0.0055788234	0.2475	79.0	525.2111728191376
61	-104939.375	53942.406	-29939.299	-185320.16	800.0	-575.52875	0.00012746706	-575.5269	-575.5289	496000	-3.0748545e-08	334629000.0	-0.04666117	-203648.0	3.453248	0.011466108	0.2475	79.0	534.4660539627075
62	-128397.27	95479.22	12109.167	-272828.97	800.0	-584.0126	0.00022178322	-584.00995	-584.01276	504000	2.5331974e-09	535361820.0	-0.04967679	-308480.0	3.4393334	0.011768303	0.26	79.0	543.6258096694946
63	-81865.664	44120.805	-29089.627	-170008.28	800.0	-594.4851	0.00017872595	-594.4812	-594.4852	512000	7.5124206e-08	239086740.0	-0.023434889	-134864.0	3.4156263	0.014144192	0.170375	17.0	550.7784879207611
64	-120668.336	100035.805	-21010.297	-327992.94	800.0	-601.7413	0.00012707557	-601.73956	-601.7414	520000	-5.6765973e-08	600068740.0	-0.048174642	-283200.0	3.402391	0.013938286	0.242125	79.0	559.8378205299377
65	-167982.88	119093.04	17591.117	-337555.6	800.0	-611.788	0.00017400908	-611.7868	-611.7882	528000	-5.4955482e-08	877468160.0	-0.045757134	-509632.0	3.4025643	0.010839033	0.257625	79.0	568.5987224578857
